,coil,foam_material,foam_thickness,metal
Taguchi L16,0.7218045112781954,0.7543859649122807,0.9375,0.7719298245614035
Taguchi L18,0.8796992481203008,0.8421052631578947,0.9375,0.8822055137844611
Taguchi L25,0.9573934837092731,0.949874686716792,0.9975,0.9699248120300752
D-opt 16,0.7518796992481203,0.7719298245614035,0.9525,0.7443609022556391
D-opt 18,0.8571428571428571,0.87468671679198,0.97,0.8696741854636592
D-opt 20,0.9147869674185464,0.9072681704260651,0.9725,0.9072681704260651
D-opt 22,0.924812030075188,0.9423558897243107,1.0,0.9548872180451128
D-opt 25,0.9724310776942355,0.9824561403508771,0.9975,0.9774436090225563
D-opt 28,0.9924812030075187,0.9899749373433584,1.0,0.9899749373433584
