,coil,foam_material,foam_thickness,metal
base N=18 [ME],0.8666666666666667,0.8683333333333333,0.9616666666666667,0.85
all-new (+10) N=28 [+int],0.9116666666666666,0.945,0.8733333333333333,0.935
7new+3rep N=28 [+int],0.935,0.955,0.8783333333333333,0.9233333333333333
from-scratch N=28 [+int],0.935,0.9316666666666666,0.865,0.9233333333333333
